symbol,name,market,industry
2330,台積電,TW,半導體
2317,鴻海,TW,電子代工
2454,聯發科,TW,半導體
2308,台達電,TW,電子零組件
2382,廣達,TW,電腦及週邊
3231,緯創,TW,電腦及週邊
2882,國泰金,TW,金融
2891,中信金,TW,金融
0050,元大台灣50,TW,ETF
00878,國泰永續高股息,TW,ETF
